option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
SZ,170.0,"13, 23",–,114,101,82,63,45,2022,mj
AX,250.0,"11, 21, 31, 41",182,164,146,121,97,73,2025,on
AY,250.0,"12, 22, 32, 42",185,158,131,109,87,65,2025,on
AZ,250.0,"13, 23, 33, 43",188,166,144,119,95,71,2025,on
BP,250.0,"33, 43, 87",189,166,143,118,93,69,2025,on
BQ,250.0,"31, 41, 88",189,169,149,123,97,71,2025,on
BR,250.0,"32, 42, 89",189,162,135,111,88,65,2025,on
BY,250.0,"32, 42, 88",191,165,139,114,89,65,2025,on
BZ,250.0,"33, 43, 89",189,166,143,118,93,69,2025,on
CX,250.0,"31, 41, 97",180,160,140,117,94,71,2025,on
CY,250.0,"32, 42, 98",186,159,132,109,86,64,2025,on
CZ,250.0,"33, 43, 99",185,162,139,115,92,69,2025,on
EV,250.0,"32, 42, 78",188,162,136,114,92,70,2025,on
SX,125.0,"11, 21",–,84,71,59,47,35,2025,on
SY,125.0,"12, 22",–,82,66,55,44,33,2025,on
SZ,125.0,"13, 23",–,86,71,59,47,35,2025,on
AY,250.0,"12, 22, 32, 42",194,169,144,119,95,71,2025,fm
BY,250.0,"32, 42, 88",196,170,144,117,90,64,2025,fm
CY,250.0,"32, 42, 98",192,166,140,115,90,65,2025,fm
EV,250.0,"32, 42, 78",192,169,146,121,97,73,2025,fm
SY,125.0,"12, 22",–,86,71,60,49,38,2025,fm
AX,250.0,"11, 21, 31, 41",177,155,133,111,89,68,2023,on
AY,250.0,"12, 22, 32, 42",190,166,142,118,95,72,2023,on
AZ,250.0,"13, 23, 33, 43",190,166,142,118,95,72,2023,on
BQ,250.0,"31, 41, 88",186,163,140,116,92,68,2023,on
BR,250.0,"32, 42, 89",194,171,148,122,97,72,2023,on
BY,250.0,"32, 42, 88",194,171,148,122,97,72,2023,on
BZ,250.0,"33, 43, 89",194,171,148,122,97,72,2023,on
CX,250.0,"31, 41, 97",172,150,128,106,85,64,2023,on
CY,250.0,"32, 42, 98",180,158,136,113,90,68,2023,on
CZ,250.0,"33, 43, 99",180,158,136,113,90,68,2023,on
EV,250.0,"32, 42, 78",170,152,134,111,88,66,2023,on
SX,125.0,"11, 21",–,82,68,57,46,35,2023,on
SY,125.0,"12, 22",–,85,69,57,46,35,2023,on
SZ,125.0,"13, 23",–,85,69,57,46,35,2023,on
AX,250.0,"11, 21, 31, 41",195,166,137,115,93,72,2023,mj
AY,250.0,"12, 22, 32, 42",195,166,137,115,93,72,2023,mj
AZ,250.0,"13, 23, 33, 43",195,166,137,115,93,72,2023,mj
BX,250.0,"31, 41, 87",181,155,129,110,91,72,2023,mj
BY,250.0,"32, 42, 88",181,153,125,105,85,65,2023,mj
BZ,250.0,"33, 43, 89",184,160,136,114,92,70,2023,mj
CT,250.0,"32, 42, 97",181,153,125,106,87,68,2023,mj
CU,250.0,"33, 43, 98",181,153,125,106,87,68,2023,mj
CY,250.0,"32, 42, 98",181,153,125,106,87,68,2023,mj
SX,125.0,"11, 21",–,90,75,61,48,35,2023,mj
SY,125.0,"12, 22",–,90,75,61,48,35,2023,mj
SZ,125.0,"13, 23",–,90,75,61,48,35,2023,mj
AX,340.0,"11, 21, 31",237,210,183,151,119,87,2022,on
AY,340.0,"12, 22, 32",237,210,183,151,119,87,2022,on
AZ,340.0,"13, 23, 33",237,210,183,151,119,87,2022,on
BQ,340.0,"31, 88",236,209,182,149,116,83,2022,on
BQJ,170.0,31,116,104,92,72,52,33,2022,on
BR,340.0,"32, 89",241,219,197,161,125,90,2022,on
BRJ,170.0,32,116,104,92,72,52,33,2022,on
BY,340.0,"32, 88",236,209,182,149,116,83,2022,on
BYJ,170.0,32,116,104,92,72,52,33,2022,on
BZ,340.0,"33, 89",241,219,197,161,125,90,2022,on
BZJ,170.0,33,116,104,92,72,52,33,2022,on
CX,340.0,"31, 97",225,202,179,147,116,85,2022,on
CXN,170.0,31,116,104,92,72,52,33,2022,on
CY,340.0,"32, 98",225,202,179,149,119,89,2022,on
CYN,170.0,32,116,104,92,72,52,33,2022,on
CZ,340.0,"33, 99",231,206,181,148,116,84,2022,on
CZN,170.0,33,116,104,92,72,52,33,2022,on
EV,340.0,"32, 78",231,206,181,148,116,84,2022,on
EVM,170.0,32,116,104,92,72,52,33,2022,on
SX,170.0,"11, 21",–,104,86,71,56,42,2022,on
SY,170.0,"12, 22",–,104,86,71,56,42,2022,on
SZ,170.0,"13, 23",–,104,86,71,56,42,2022,on
AX,250.0,"11, 21, 31, 41",188,160,132,110,88,67,2024,mj
AY,250.0,"12, 22, 32, 42",188,160,132,110,88,67,2024,mj
AZ,250.0,"13, 23, 33, 43",188,160,132,110,88,67,2024,mj
BX,250.0,"31, 41, 87",190,163,136,114,92,71,2024,mj
BY,250.0,"32, 42, 88",190,163,136,114,92,71,2024,mj
BZ,250.0,"33, 43, 89",190,163,136,114,92,71,2024,mj
CT,250.0,"32, 42, 97",181,155,129,109,90,71,2024,mj
CU,250.0,"33, 43, 98",186,158,130,110,90,71,2024,mj
CY,250.0,"32, 42, 98",186,158,130,110,90,71,2024,mj
SX,125.0,"11, 21",–,87,71,57,44,31,2024,mj
SY,125.0,"12, 22",–,87,71,57,44,31,2024,mj
SZ,125.0,"13, 23",–,87,71,57,44,31,2024,mj
AY,250.0,"12, 22, 32, 42",197,169,141,119,97,75,2025,mj
AZ,250.0,"13, 23, 33, 43",195,166,137,116,95,75,2025,mj
BX,250.0,"31, 41, 87",196,167,138,116,94,73,2025,mj
BY,250.0,"32, 42, 88",196,167,138,116,94,73,2025,mj
BZ,250.0,"33, 43, 89",196,167,138,116,94,73,2025,mj
CS,250.0,"31, 41, 99",191,162,133,113,94,75,2025,mj
CT,250.0,"32, 42, 97",188,160,132,113,94,75,2025,mj
CU,250.0,"33, 43, 98",192,163,134,114,94,74,2025,mj
CY,250.0,"32, 42, 98",192,163,134,114,94,74,2025,mj
SX,125.0,"11, 21",–,86,70,57,45,33,2025,mj
SY,125.0,"12, 22",–,89,74,60,46,33,2025,mj
SZ,125.0,"13, 23",–,86,70,57,45,33,2025,mj
AX,250.0,"11, 21, 31, 41",179,156,133,110,88,66,2024,on
AY,250.0,"12, 22, 32, 42",183,159,135,111,88,65,2024,on
AZ,250.0,"13, 23, 33, 43",182,158,134,111,88,66,2024,on
BQ,250.0,"31, 41, 88",187,163,139,114,89,64,2024,on
BR,250.0,"32, 42, 89",187,163,139,114,89,64,2024,on
BY,250.0,"32, 42, 88",187,163,139,114,89,64,2024,on
BZ,250.0,"33, 43, 89",187,163,139,114,89,64,2024,on
CX,250.0,"31, 41, 97",180,158,136,113,90,68,2024,on
CY,250.0,"32, 42, 98",185,161,137,114,91,68,2024,on
CZ,250.0,"33, 43, 99",185,161,137,114,91,68,2024,on
EV,250.0,"32, 42, 78",183,162,141,118,95,73,2024,on
SX,125.0,"11, 21",–,80,65,54,43,33,2024,on
SY,125.0,"12, 22",–,83,67,55,43,32,2024,on
SZ,125.0,"13, 23",–,82,66,55,44,33,2024,on
